image_id,abs_image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,year,month,day_of_year,month_sin,month_cos,day_of_year_sin,day_of_year_cos,State_encoded,Species_encoded,Dry_Green_g,Dry_Dead_g,Dry_Clover_g,GDM_g,Dry_Total_g,fold,Dry_Green_g_log,Dry_Dead_g_log,Dry_Clover_g_log,GDM_g_log,Dry_Total_g_log
ID1011485656,csiro-biomass\train\train\ID1011485656.jpg,2015-09-04,Tas,Ryegrass_Clover,-0.245973503286157,-0.2848041528170105,0.0,9,247,-1.1063433941687213,0.30910907793111153,-1.006859004576357,-0.21525070083077605,1,11,16.2751,31.9984,0.0,16.275,48.2735,0,2.8492663,3.496459,0.0,2.8492603,3.8973863
ID1012260530,csiro-biomass\train\train\ID1012260530.jpg,2015-04-01,NSW,Lucerne,-0.7060691505257572,0.8170928721246903,0.0,4,91,1.8092077073653192,-0.42544678723698676,1.8177595006327103,0.4922713985007081,0,3,7.6,0.0,0.0,7.6,7.6,3,2.1517622,0.0,0.0,2.1517622,2.1517622
ID1025234388,csiro-biomass\train\train\ID1025234388.jpg,2015-09-01,WA,SubcloverDalkeith,-1.8234442938219302,-0.6413045385258273,0.0,9,244,-1.1063433941687213,0.30910907793111153,-0.9707063342954942,-0.28649306435006355,3,12,0.0,0.0,6.05,6.05,6.05,2,0.0,0.0,1.9530276,1.9530276,1.9530276
ID1028611175,csiro-biomass\train\train\ID1028611175.jpg,2015-05-18,Tas,Ryegrass,0.01693829513647212,-0.2523985623523559,0.0,5,138,1.237315295274428,-0.9631790015377493,1.3622288727116874,-0.6415470146262103,1,10,24.2376,30.9703,0.0,24.2376,55.2079,4,3.228335,3.4648073,0.0,3.228335,4.0290575
ID1035947949,csiro-biomass\train\train\ID1035947949.jpg,2015-09-11,Tas,Ryegrass,-0.7717971001314144,-0.3982383034174077,0.0,9,254,-1.1063433941687213,0.30910907793111153,-1.0772560488000007,-0.04211626960247908,1,10,10.5261,23.2239,0.4343,10.9605,34.1844,0,2.444614,3.1873398,0.3606769,2.4816096,3.5606027
ID1036339023,csiro-biomass\train\train\ID1036339023.jpg,2015-09-30,Vic,Phalaris_Clover,1.068585488826987,-0.05794557426562025,0.0,9,273,-1.1063433941687213,0.30910907793111153,-1.1638958307869425,0.45864025501659345,2,7,32.191,2.6135,23.0755,55.2665,57.88,4,3.5022788,1.2846769,3.1811948,4.0300994,4.0755014
ID1049634115,csiro-biomass\train\train\ID1049634115.jpg,2015-07-02,Vic,Ryegrass_Clover,0.4113059927704151,-0.5440780444824594,0.0,7,183,-0.32512383102100434,-0.9631790015377494,0.3172278429478333,-1.0801756479420925,2,11,13.575,3.0167,1.5083,15.0833,18.1,2,2.6793077,1.3904606,0.9196052,2.7777815,2.9496884
ID1051144034,csiro-biomass\train\train\ID1051144034.jpg,2015-09-01,WA,SubcloverLosa,0.9371295896156733,-0.6413045385258273,0.0,9,244,-1.1063433941687213,0.30910907793111153,-0.9707063342954942,-0.28649306435006355,3,13,0.0,0.0,55.32,55.32,55.32,1,0.0,0.0,4.0310497,4.0310497,4.0310497
ID1052620238,csiro-biomass\train\train\ID1052620238.jpg,2015-05-18,Tas,Ryegrass,0.14839419434778667,-0.2523985623523559,0.0,5,138,1.237315295274428,-0.9631790015377493,1.3622288727116874,-0.6415470146262103,1,10,20.1707,11.2291,0.0,20.1707,31.3998,1,3.0526183,2.5038183,0.0,3.0526183,3.4781523
ID105271783,csiro-biomass\train\train\ID105271783.jpg,2015-06-30,Vic,Phalaris_Clover,1.3314972872496162,-0.3496250563957238,0.0,6,181,0.4560957321267118,-1.160002652405086,0.3685177531083336,-1.079597130931854,2,7,27.6667,8.5635,5.2698,32.9365,41.5,2,3.3557363,2.257954,1.8357445,3.524491,3.749504
ID1053972079,csiro-biomass\train\train\ID1053972079.jpg,2015-09-04,Tas,Clover,-0.6403412009200999,-0.49546479746077554,0.0,9,247,-1.1063433941687213,0.30910907793111153,-1.006859004576357,-0.21525070083077605,1,0,1.3688,7.9393,21.0801,22.4489,30.3882,4,0.8623835,2.1904573,3.0946767,3.1548235,3.446432
